SampleId,age,sumCharArea,depth,Density,Mass,sed_rate,CHAR.tram,CHAR.z_scores
TRAM-3U-78-79,3367,206114.7772,485,0.57695,1.6851,0.0476190476190476,3360.48788133359,0.352026489630368
TRAM-3U-79-80,3405,341070.8814,487,0.6045,1.5254,0.0526315789473684,7113.83201666862,1.59582567836194
TRAM-3U-80-81,3424,380330.839,488,0.590136364,1.9503,0.0526315789473684,6057.01844640715,1.24561428981459
TRAM-3U-81-82,3465,295676.5555,490,0.756958333,1.7464,0.0487804878048781,6251.60141443477,1.31009602371564
TRAM-3U-82-83,3509,60116.81,492,0.6519,1.5164,0.0454545454545455,1174.73647031846,-0.372297135852177
TRAM-3U-83-84,3532,893164.035,493,0.382833333,1.7353,0.0434782608695652,8567.19335423216,2.07744675743574
TRAM-3U-84-85,3576,114099.2518,495,0.5151,1.6548,0.0454545454545455,1614.38143038928,-0.226605713763272
TRAM-3U-85-86,3597,49074.947,496,0.714695652,1.65,0.0476190476190476,1012.22658710045,-0.426150354107472
TRAM-3U-86-87,3639,22083.7261,498,0.661045455,1.8972,0.0476190476190476,366.413330117313,-0.640162705798217
TRAM-3U-87-88,3674,196299.7879,500,0.559708333,1.8766,0.0571428571428571,3345.58326011366,0.347087332677723
TRAM-3U-88-89,3689,0,501,0.448608696,1.5277,0.0666666666666667,0,-0.761586317997759
TRAM-3U-89-90,3719,349658.9972,503,0.439291667,1.5109,0.0666666666666667,6777.51820158124,1.48437657183668
TRAM-3U-90-91,3747,45394.326,505,0.61665,1.5316,0.0714285714285714,1305.47005595922,-0.32897408262369
TRAM-3U-91-92,3759,44167.4523,506,0.66348,1.5456,0.0833333333333333,1579.98087323175,-0.238005517123063
TRAM-3U-92-93,3785,23310.5998,508,0.7293,1.575,0.0769230769230769,830.301364304762,-0.486437510404395
TRAM-3U-93-94,3799,51528.6943,509,0.701375,1.6013,0.0714285714285714,1612.12487910102,-0.227353499354059
TRAM-3U-94-95,3830,0,511,0.75345,1.5255,0.0645161290322581,0,-0.761586317997759
TRAM-3U-95-96,3861,208568.5248,513,0.855666667,1.6661,0.0645161290322581,6910.67741574288,1.52850344019047
TRAM-3U-96-97,3878,40486.8312,514,0.984916667,1.5868,0.0588235294117647,1478.23050619432,-0.271723987748459
TRAM-3U-97-98,3910,0,516,0.971416667,1.5063,0.0625,0,-0.761586317997759
TRAM-3U-98-99,3925,80973.6625,517,0.978958333,1.6263,0.0666666666666667,3249.49647083993,0.315245682608559
TRAM-3U-99-100,3957,30671.8418,519,0.964666667,1.662,0.0625,1112.66935168311,-0.392865202360862
TRAM-3U-100-101,3984,47848.0733,521,0.91708,1.5292,0.0740740740740741,2125.56122600847,-0.0572087727523288
TRAM-3U-101-102,3998,0,522,0.983,1.5174,0.0714285714285714,0,-0.761586317997759
TRAM-3U-102-103,4027,45394.3259,524,0.972086957,1.5271,0.0689655172413793,1992.83438427117,-0.101192359687935
TRAM-3U-103-104,4042,13495.6104,525,0.91755,1.5392,0.0666666666666667,536.334776616424,-0.58385341209024
TRAM-3U-104-105,4070,8588.1157,527,1.029619048,1.7219,0.0714285714285714,366.80774191084,-0.64003200393579
TRAM-3U-105-106,4100,28218.0945,529,1.070652174,1.5988,0.0666666666666667,1259.76833552508,-0.344118913673015
TRAM-3U-106-107,4111,15949.3578,530,0.84436,1.5527,0.0909090909090909,788.479876813293,-0.500296493310792
TRAM-3U-107-108,4135,40486.8313,532,0.806454545,1.5515,0.0833333333333333,1753.72161964407,-0.180430567519364
TRAM-3U-108-109,4148,24537.4734,533,0.7289,1.5827,0.0769230769230769,869.272293270021,-0.473523157740919
TRAM-3U-109-110,4173,40486.8312,535,0.745818182,1.6852,0.08,1433.45904773439,-0.286560544616918
TRAM-3U-110-111,4199,331255.8921,537,0.62935,1.6305,0.0769230769230769,9835.39243238907,2.49770797721352
TRAM-3U-111-112,4212,161947.3249,538,0.649857143,1.6717,0.0769230769230769,4842.72692818489,0.84321718718023
TRAM-3U-112-113,4250,376650.218,540,0.46625,1.734,0.0526315789473684,5330.33339836399,1.00480229905937
TRAM-3U-113-114,4277,116552.9991,541,0.407444444,1.7645,0.037037037037037,996.79632074624,-0.431263701586748
TRAM-4U-13-14,4513,277273.4504,550,0.398783027,1.5189,0.0377358490566038,2747.0710769399,0.148749812579521
TRAM-4U-14-15,4539,0,551,0.56063587,1.5491,0.0384615384615385,0,-0.761586317997759
TRAM-4U-15-16,4600,46621.1996,553,0.33683587,1.5588,0.0327868852459016,330.302257047448,-0.652129347216914
TRAM-4U-16-17,4660,155812.9566,555,0.27043587,1.6012,0.0333333333333333,877.20485626183,-0.470894431181878
TRAM-4U-17-18,4685,23310.5998,556,0.221396245,1.492,0.04,138.361374381173,-0.715735535601615
TRAM-4U-18-19,4728,229425.3772,558,0.51083587,1.5029,0.0465116279069767,3627.05628535344,0.440363064350489
TRAM-4U-19-20,4752,208568.5247,559,0.551150966,1.5587,0.0416666666666667,3072.87974662646,0.256717679214186
TRAM-4U-20-21,4890,77293.0415,561,0.47,1.5696,0.0144927536231884,335.428665523571,-0.650430536110391
